Source,Month of Year,Device Category,Ad Content,Sessions,Users,New Users,Pageviews,Session Duration,Calculated AToS
MediaIQ,202105,desktop,SDPCrossixSegment.NU1623Unbranded50.160,2,2,2,2,0,0
MediaIQ,202105,desktop,SDPCrossixSegment.NU1623Unbranded50.300,7,7,7,7,0,0
MediaIQ,202105,desktop,SDPCrossixSegment.NU1623Unbranded50.728,1,1,1,1,0,0
MediaIQ,202105,desktop,SDPCrossixSegment.NU1624UnbrandedSymp.160,8,8,8,8,0,0
MediaIQ,202105,desktop,SDPCrossixSegment.NU1624UnbrandedSymp.300,14,14,14,15,7,8.10185E-05
MediaIQ,202105,desktop,SDPCrossixSegment.NU1624UnbrandedSymp.320,19,19,19,19,0,0
MediaIQ,202105,desktop,SDPCrossixSegment.NU1624UnbrandedSymp.728,5,5,5,5,0,0
MediaIQ,202105,desktop,SDPSwoopSegment.NU1559Branded.160,5,5,5,60,512,0.005925926
MediaIQ,202105,desktop,SDPSwoopSegment.NU1559Branded.300,12,12,11,102,909,0.010520833
MediaIQ,202105,desktop,SDPSwoopSegment.NU1559Branded.728,26,25,24,168,1901,0.022002315
MediaIQ,202105,desktop,SDPSwoopSegment.NU1623Unbranded50.160,5,5,5,5,0,0
MediaIQ,202105,desktop,SDPSwoopSegment.NU1623Unbranded50.300,6,6,6,6,0,0
MediaIQ,202105,desktop,SDPSwoopSegment.NU1623Unbranded50.728,14,14,14,14,0,0
MediaIQ,202105,desktop,SDPSwoopSegment.NU1624UnbrandedSymp.160,3,3,3,3,0,0
MediaIQ,202105,desktop,SDPSwoopSegment.NU1624UnbrandedSymp.300,13,13,13,13,0,0
MediaIQ,202105,desktop,SDPSwoopSegment.NU1624UnbrandedSymp.320,14,14,14,15,5,5.78704E-05
MediaIQ,202105,desktop,SDPSwoopSegment.NU1624UnbrandedSymp.728,10,10,9,10,0,0
Medicx,202105,desktop,SDPCustomCaregiver.NU1559Branded.160,15,15,15,135,993,0.011493056
Medicx,202105,desktop,SDPCustomCaregiver.NU1559Branded.300,22,22,22,214,1600,0.018518519
Medicx,202105,desktop,SDPCustomCaregiver.NU1559Branded.728,20,20,20,258,1352,0.015648148
Medicx,202105,desktop,SDPCustomCaregiver.NU1623Unbranded50.160,10,10,10,11,27,0.0003125
Medicx,202105,desktop,SDPCustomCaregiver.NU1623Unbranded50.300,11,11,11,11,0,0
Medicx,202105,desktop,SDPCustomCaregiver.NU1623Unbranded50.728,3,3,3,3,0,0
Medicx,202105,desktop,SDPCustomCaregiver.NU1624UnbrandedSymp.160,8,8,8,10,54,0.000625
Medicx,202105,desktop,SDPCustomCaregiver.NU1624UnbrandedSymp.300,13,13,12,21,457,0.005289352
Medicx,202105,desktop,SDPCustomCaregiver.NU1624UnbrandedSymp.320,18,18,18,18,0,0
Medicx,202105,desktop,SDPCustomCaregiver.NU1624UnbrandedSymp.728,8,8,8,8,0,0
Medicx,202105,desktop,SDPCustomPatient.NU1559Branded.160,19,19,18,140,1160,0.013425926
Medicx,202105,desktop,SDPCustomPatient.NU1559Branded.300,32,32,31,279,3231,0.037395833
Medicx,202105,desktop,SDPCustomPatient.NU1559Branded.728,23,23,22,286,1895,0.02193287
Medicx,202105,desktop,SDPCustomPatient.NU1623Unbranded50.160,5,5,5,6,27,0.0003125
Medicx,202105,desktop,SDPCustomPatient.NU1623Unbranded50.300,16,16,15,27,1065,0.012326389
Medicx,202105,desktop,SDPCustomPatient.NU1623Unbranded50.728,6,6,6,6,0,0
Medicx,202105,desktop,SDPCustomPatient.NU1624UnbrandedSymp.160,8,8,8,8,0,0
Medicx,202105,desktop,SDPCustomPatient.NU1624UnbrandedSymp.300,7,7,7,7,0,0
Medicx,202105,desktop,SDPCustomPatient.NU1624UnbrandedSymp.320,7,7,7,7,0,0
Medicx,202105,desktop,SDPCustomPatient.NU1624UnbrandedSymp.728,4,4,4,4,0,0
MiQ,202105,desktop,MiQCrossixTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.728,1,1,0,1,0,0
ParkinsonsNewsToday,202105,desktop,ROS.NU1559Branded.300,2,2,2,2,0,0
ParkinsonsNewsToday,202105,desktop,ROS.NU1559Branded.728,10,10,10,11,1438,0.016643519
ParkinsonsNewsToday,202105,desktop,ROS.NU1623Unbranded50.300,6,6,5,6,0,0
ParkinsonsNewsToday,202105,desktop,ROS.NU1623Unbranded50.728,8,8,7,11,331,0.003831019
ParkinsonsNewsToday,202105,desktop,ROS.NU1624UnbrandedSymp.160,1,1,0,1,0,0
ParkinsonsNewsToday,202105,desktop,ROS.NU1624UnbrandedSymp.300,4,3,2,4,890,0.010300926
ParkinsonsNewsToday,202105,desktop,ROS.NU1624UnbrandedSymp.728,17,16,14,19,184,0.00212963
PulsePoint,202105,desktop,PulsePointConditionPopulation.SD_1624_v3_Symptom.728,1,1,1,1,0,0
RemedyHealth,202105,desktop,SDPConditionCenter.NU1559Branded.300,7,7,7,9,272,0.003148148
RemedyHealth,202105,desktop,SDPConditionCenter.NU1559Branded.728,6,6,6,8,134,0.001550926
RemedyHealth,202105,desktop,SDPConditionCenter.NU1623Unbranded50.300,13,12,11,18,1144,0.013240741
RemedyHealth,202105,desktop,SDPConditionCenter.NU1623Unbranded50.728,2,2,2,2,0,0
RemedyHealth,202105,desktop,SDPConditionCenter.NU1624UnbrandedSymp.300,4,4,3,5,15,0.000173611
RemedyHealth,202105,desktop,SDPConditionCenter.NU1624UnbrandedSymp.728,4,4,4,4,0,0
RemedyHealth,202105,desktop,SDSDisplayMedia.NU1559Branded.300,1,1,1,1,0,0
RemedyHealth,202105,desktop,SDSDisplayMedia.NU1559Branded.728,2,2,1,2,0,0
RemedyHealth,202105,desktop,SDSDisplayMedia.NU1623Unbranded50.300,2,2,1,6,486,0.005625
RemedyHealth,202105,desktop,SDSDisplayMedia.NU1624UnbrandedSymp.300,3,3,3,3,0,0
Sharecare,202105,desktop,SDPMR.NU1559Branded.160,5,5,5,27,321,0.003715278
Sharecare,202105,desktop,SDPMR.NU1559Branded.300,10,10,10,81,591,0.006840278
Sharecare,202105,desktop,SDPMR.NU1559Branded.728,16,16,16,101,490,0.005671296
Sharecare,202105,desktop,SDPMR.NU1623Unbranded50.160,3,3,2,3,0,0
Sharecare,202105,desktop,SDPMR.NU1623Unbranded50.300,4,4,4,4,0,0
Sharecare,202105,desktop,SDPMR.NU1623Unbranded50.728,6,6,6,6,0,0
Sharecare,202105,desktop,SDPMR.NU1624UnbrandedSymp.160,5,5,5,5,0,0
Sharecare,202105,desktop,SDPMR.NU1624UnbrandedSymp.300,4,4,4,4,0,0
Sharecare,202105,desktop,SDPMR.NU1624UnbrandedSymp.728,12,11,11,12,0,0
Sharecare,202105,desktop,SDPPerformanceDisplay.NU1559Branded.1,51,50,49,54,1328,0.01537037
Sharecare,202105,desktop,SDPPerformanceDisplay.NU1559Branded.300,1,1,1,2,97,0.001122685
Swoop,202105,desktop,SDPCustom.NU1559Branded.160,11,11,10,88,667,0.007719907
Swoop,202105,desktop,SDPCustom.NU1559Branded.300,11,11,11,82,651,0.007534722
